Transaction_Id,Transaction_Date,Customer Name,Transaction_Status,Transaction_Type,Customer_Segment,State,Total Amount,Total Fees,Total Tax
T00001599,2025-08-24 00:00:00,Kiara Kumar,Success,Withdrawal,Retail,Chandigarh,₹ 2908.80,₹ 2.91,₹ 0.52
T00002813,2025-08-27 00:00:00,Karan Sharma,Success,Withdrawal,Premium,Chandigarh,₹ 11015.12,₹ 0.00,₹ 0.00
T00003456,2025-08-29 00:00:00,Krishna Iyer,Pending,Investment,SME,Chandigarh,₹ 44369.57,₹ 88.74,₹ 15.97
T00003559,2025-08-07 00:00:00,Pari Desai,Failed,Withdrawal,SME,Chandigarh,₹ 7757.58,₹ 0.00,₹ 0.00
T00003661,2025-08-27 00:00:00,Neha Chopra,Success,Investment,Retail,Chandigarh,₹ 14819.84,₹ 0.00,₹ 0.00
T00006558,2025-08-18 00:00:00,Amit Kulkarni,Success,Transfer,Retail,Chandigarh,₹ 50485.97,₹ 100.97,₹ 18.17
T00009035,2025-08-09 00:00:00,Diya Iyer,Success,Interest Credit,Premium,Chandigarh,₹ 3922.27,₹ 0.00,₹ 0.00
T00011107,2025-08-21 00:00:00,Anaya Malhotra,Success,Fee Charge,Retail,Chandigarh,₹ 858.90,₹ 0.00,₹ 0.00
T00011381,2025-08-06 00:00:00,Pari Nair,Success,Bill Payment,Retail,Chandigarh,₹ 11270.66,₹ 56.35,₹ 10.14
T00011922,2025-08-27 00:00:00,Sai Iyer,Success,Fee Charge,Corporate,Chandigarh,₹ 84.92,₹ 0.42,₹ 0.08
T00012559,2025-08-13 00:00:00,Sai Agarwal,Success,Withdrawal,SME,Chandigarh,₹ 2994.30,₹ 5.99,₹ 1.08
T00014969,2025-08-16 00:00:00,Amit Mehta,Success,Fee Charge,Premium,Chandigarh,₹ 780.68,₹ 3.90,₹ 0.70
T00015081,2025-08-10 00:00:00,Anaya Kumar,Pending,Interest Credit,Retail,Chandigarh,₹ 1984.69,₹ 9.92,₹ 1.79
T00015919,2025-08-16 00:00:00,Krishna Iyer,Success,Bill Payment,SME,Chandigarh,₹ 4454.16,₹ 22.27,₹ 4.01
T00016428,2025-08-22 00:00:00,Neha Sharma,Failed,Fee Charge,Retail,Chandigarh,₹ 507.49,₹ 0.51,₹ 0.09
T00016941,2025-08-16 00:00:00,Sai Agarwal,Success,Withdrawal,SME,Chandigarh,₹ 6709.29,₹ 6.71,₹ 1.21
T00017210,2025-08-04 00:00:00,Karan Sharma,Success,Deposit,Premium,Chandigarh,₹ 2657.34,₹ 0.00,₹ 0.00
T00017903,2025-08-24 00:00:00,Aadhya Chopra,Success,Card Payment,Retail,Chandigarh,₹ 3896.51,₹ 19.48,₹ 3.51
T00021019,2025-08-10 00:00:00,Ayaan Bansal,Success,Card Payment,Retail,Chandigarh,₹ 1813.93,₹ 3.63,₹ 0.65
